0.000000000000000000e+00,5.627642513485930920e-02
5.000000000000000000e+00,5.744277591485791312e-02
1.000000000000000000e+01,1.277883073334302733e-01
1.500000000000000000e+01,3.645575156728398936e-01
2.000000000000000000e+01,4.566992272926105878e-01
2.500000000000000000e+01,5.459979588861357813e-01
3.000000000000000000e+01,5.491325266073778799e-01
3.500000000000000000e+01,6.123341594984671454e-01
4.000000000000000000e+01,7.012684064732461753e-01
4.500000000000000000e+01,7.135879865869672045e-01
5.000000000000000000e+01,6.904067648345217911e-01
5.500000000000000000e+01,6.773582154833067692e-01
6.000000000000000000e+01,7.248141128444378634e-01
6.500000000000000000e+01,8.870826651115335526e-01
7.000000000000000000e+01,9.029741944889909666e-01
7.500000000000000000e+01,8.447295524128866084e-01
8.000000000000000000e+01,8.639743402828405916e-01
8.500000000000000000e+01,9.286339116489281675e-01
9.000000000000000000e+01,1.000000000000000000e+00
9.500000000000000000e+01,9.542936288088623709e-01
1.000000000000000000e+02,8.676920833940789946e-01
1.050000000000000000e+02,9.380376148126529090e-01
1.100000000000000000e+02,9.763084997813078481e-01
1.150000000000000000e+02,8.879574281965281202e-01
1.200000000000000000e+02,7.285318559556805962e-01
1.250000000000000000e+02,7.106721096369723600e-01
1.300000000000000000e+02,6.974048695145056431e-01
1.350000000000000000e+02,5.403119988336508861e-01
1.400000000000000000e+02,6.381396705059034780e-01
1.450000000000000000e+02,5.382708849686534958e-01
1.500000000000000000e+02,4.149292899839628346e-01
1.550000000000000000e+02,2.361131360256594203e-01
1.600000000000000000e+02,3.578509986878556370e-01
1.650000000000000000e+02,2.972736550517571796e-01
1.700000000000000000e+02,1.583321183846043700e-01
1.750000000000000000e+02,0.000000000000000000e+00
1.800000000000000000e+02,1.074500656072316929e-01
